iter	Passed	Remaining
0	142	273675
1	143	137757
2	144	92340
3	144	69545
4	145	55988
5	146	46849
6	147	40433
7	148	35582
8	149	31828
9	150	28782
10	151	26299
11	151	24213
12	153	22492
13	153	20989
14	154	19692
15	155	18564
16	156	17537
17	157	16666
18	158	15862
19	159	15154
20	159	14488
21	160	13904
22	161	13357
23	162	12857
24	163	12405
25	164	11991
26	164	11587
27	165	11228
28	166	10883
29	167	10565
30	168	10276
31	169	10002
32	170	9752
33	171	9507
34	172	9286
35	172	9072
36	173	8869
37	174	8670
38	175	8485
39	176	8302
40	177	8137
41	178	7977
42	178	7818
43	179	7678
44	180	7541
45	181	7409
46	182	7283
47	183	7171
48	184	7056
49	185	6951
50	186	6839
51	187	6737
52	188	6638
53	188	6539
54	189	6439
55	190	6356
56	191	6268
57	192	6181
58	192	6099
59	193	6017
60	194	5939
61	195	5863
62	196	5794
63	197	5727
64	198	5663
65	198	5600
66	199	5533
67	200	5474
68	201	5417
69	202	5357
70	203	5301
71	203	5246
72	204	5191
73	205	5141
74	206	5091
75	207	5046
76	208	4997
77	209	4948
78	210	4905
79	211	4866
80	212	4824
81	212	4782
82	213	4737
83	214	4697
84	215	4656
85	216	4616
86	216	4577
87	217	4538
88	218	4502
89	219	4465
90	219	4427
91	220	4393
92	221	4358
93	222	4324
94	222	4292
95	223	4264
96	224	4232
97	225	4202
98	226	4172
99	227	4144
100	227	4114
101	228	4087
102	229	4057
103	230	4033
104	231	4004
105	232	3980
106	233	3958
107	234	3935
108	234	3912
109	235	3888
110	236	3867
111	237	3847
112	238	3824
113	239	3803
114	240	3785
115	241	3764
116	242	3743
117	243	3719
118	243	3698
119	244	3677
120	245	3659
121	246	3640
122	247	3621
123	248	3602
124	248	3580
125	249	3563
126	250	3543
127	251	3530
128	252	3514
129	253	3497
130	254	3480
131	254	3461
132	255	3444
133	256	3429
134	257	3413
135	258	3398
136	259	3383
137	260	3367
138	260	3349
139	261	3334
140	262	3319
141	263	3304
142	264	3288
143	264	3274
144	265	3261
145	266	3246
146	267	3233
147	268	3222
148	269	3209
149	270	3195
150	271	3182
151	271	3169
152	272	3154
153	273	3143
154	274	3131
155	275	3117
156	276	3107
157	277	3096
158	277	3084
159	278	3072
160	279	3061
161	280	3051
162	281	3038
163	282	3027
164	282	3015
165	283	3006
166	284	2997
167	285	2986
168	286	2975
169	287	2966
170	288	2954
171	289	2945
172	290	2936
173	291	2926
174	291	2916
175	292	2905
176	293	2896
177	294	2886
178	295	2876
179	295	2866
180	296	2857
181	297	2848
182	298	2839
183	299	2828
184	300	2820
185	300	2811
